n,r,m
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [depan pendeta yang memujanya], DIBERI: [sambungan], BERFUNGSI_SEBAGAI: [kain kafan teratas pada plengkungan sawa], DIPUJA_PADA: [pamlaspasan], DILIPAT_DI: [simbol], name: kajang, MEMILIKI: [nilai dan bobot istimewa], id: kajang, BERPERAN_SEBAGAI: [atribut nilai martabat warga]})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 1639, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: paplengkungan jenazah, id: paplengkungan_jenazah})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [depan pendeta yang memujanya], DIBERI: [sambungan], BERFUNGSI_SEBAGAI: [kain kafan teratas pada plengkungan sawa], DIPUJA_PADA: [pamlaspasan], DILIPAT_DI: [simbol], name: kajang, MEMILIKI: [nilai dan bobot istimewa], id: kajang, BERPERAN_SEBAGAI: [atribut nilai martabat warga]})","[:DIBERI {raw_relation: DIBERI, sentence_id: 2336, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: kain putih, id: kain_putih})"
"(:Node:SARANA_RITUAL {name: kajang atau kakerebsari, definition: alat upakara yang pelik dalam pangabenan ini, id: kajang_atau_kakerebsari})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [depan pendeta yang memujanya], DIBERI: [sambungan], BERFUNGSI_SEBAGAI: [kain kafan teratas pada plengkungan sawa], DIPUJA_PADA: [pamlaspasan], DILIPAT_DI: [simbol], name: kajang, MEMILIKI: [nilai dan bobot istimewa], id: kajang, BERPERAN_SEBAGAI: [atribut nilai martabat warga]})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {BERSELONJOR_KE: [teben/barat], name: kaki jenazah, id: kaki_jenazah})",null,null
"(:Node:SARANA_RITUAL:Isolated {DIMASUKKAN_KE_DALAM: [periuk], name: kalpika, id: kalpika})",null,null
"(:Node:KONSEP_HUKUM_ADAT:Isolated {name: kanoroyang, definition: Sanksi pemecatan dari keanggotaan desa adat., id: kanoroyang})",null,null
"(:Node:KONSEP_FILOSOFIS:Isolated {name: karma wasana, id: karma_wasana, MENENTUKAN: [nasib setelah meninggal]})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: kata roras, id: kata_roras})",null,null
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 3544, confidence: HIGH}]","(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})","[:BERISI {raw_relation: BERISI, sentence_id: 3753, confidence: MED}]","(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})","[:DIISI_DENGAN {raw_relation: DIISI_DENGAN, sentence_id: 3141, confidence: MED}]","(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})","[:DIKUMPULKAN {raw_relation: DIKUMPULKAN, sentence_id: 3963, confidence: MED}]","(:Node:TAHAPAN_UPACARA {name: setelah upacara sembah bhakti, id: setelah_upacara_sembah_bhakti})"
"(:Node:SARANA_RITUAL {name: kawangen di samping jenazah, BERTUJUAN_AGAR: [perjalanan roh yang meninggal tidak mendapat halangan], id: kawangen_di_samping_jenazah})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})"
"(:Node:SARANA_RITUAL {name: kawangen di tangan, id: kawangen_di_tangan})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})"
"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [telapak kaki, telapak tangan], name: kawangen jeriji, id: kawangen_jeriji})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: kelompok ini, definition: paksa mahayana kendaraan besar, id: kelompok_ini})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {BERTUGAS_MENGANGKUT: [masyarakat manusia ke alam sana], name: kelompok paksa mahayana, id: kelompok_paksa_mahayana})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: keluarga/masyarakat, id: keluarga_masyarakat})","[:DILARANG {raw_relation: DILARANG, sentence_id: 3296, confidence: LOW}]","(:Node:ISTILAH_UMUM_RITUAL {name: tergesa-gesa memandikan jenazah, id: tergesa_gesa_memandikan_jenazah})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {BAGIAN_DARI: [standar kedudukan seseorang di masyarakat], name: kemampuan sosial ekonomi, id: kemampuan_sosial_ekonomi})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {DIALASI_DENGAN: [bantal biasa bantal kapuk], name: kepala jenazah, id: kepala_jenazah})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: kepercayaan setempat, definition: kepercayaan lokal, id: kepercayaan_setempat})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: kesuna bawang putih, id: kesuna_bawang_putih, BERMAKNA: [agar orang yang numitis kembali memiliki kuku-kuku yang indah dan putih bersih]})",null,null
"(:Node:SARANA_RITUAL {name: klungah nyuh gading/suku tunggal, id: klungah_nyuh_gading_suku_tunggal})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {name: klungah, id: klungah})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: kojong, id: kojong, TERBUAT_DARI: [daun pisang]})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {BERISI: [lima buah gulungan base daun sirih], name: kojong kawangen jeriji, id: kojong_kawangen_jeriji})",null,null
"(:Node:STRUKTUR_SOSIAL_ADAT {name: krama atau keluarga, id: krama_atau_keluarga})","[:MENGAMBIL {raw_relation: MENGAMBIL, sentence_id: 3339, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})"
"(:Node:ISTILAH_UMUM_RITUAL {name: krama masyarakat banjar, id: krama_masyarakat_banjar})","[:MEMBUAT {raw_relation: MEMBUAT, sentence_id: 3330, confidence: LOW}]","(:Node:BANGUNAN_RITUAL {name: bale-bale tempat memandikan mayat, id: bale_bale_tempat_memandikan_mayat})"
"(:Node:ISTILAH_UMUM_RITUAL {name: kwangen setiap gulungan, id: kwangen_setiap_gulungan})","[:DIISI_DENGAN {raw_relation: DIISI_DENGAN, sentence_id: 3142, confidence: MED}]","(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})"
"(:Node:SARANA_RITUAL {name: lancingan, id: lancingan})","[:ADALAH {raw_relation: ADALAH, sentence_id: 1602, confidence: MED}]","(:Node:SARANA_RITUAL {name: kain putih panjangnya puluhan meter, id: kain_putih_panjangnya_puluhan_meter})"
"(:Node:SARANA_RITUAL {name: lancingan kajang, id: lancingan_kajang})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {name: lancingan, id: lancingan})"
"(:Node:SARANA_RITUAL {name: lancingan kajang, id: lancingan_kajang})","[:DIJUNJUNG_OLEH {raw_relation: DIJUNJUNG_OLEH, sentence_id: 1603, confidence: LOW}]","(:Node:ISTILAH_UMUM_RITUAL {name: segenap keturunan mendiang, id: segenap_keturunan_mendiang})"
"(:Node:ISTILAH_UMUM_RITUAL {name: layon, id: layon})","[:DIGULUNG_DENGAN {raw_relation: DIGULUNG_DENGAN, sentence_id: 215, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: kain putih, id: kain_putih})"
"(:Node:ISTILAH_UMUM_RITUAL {name: layon, id: layon})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 215, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {name: saka roras, id: saka_roras})"
"(:Node:ISTILAH_UMUM_RITUAL {name: layon, id: layon})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 215, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {name: bale gede, id: bale_gede})"
"(:Node:SARANA_RITUAL {BERISI: [tembakau], DIIKAT_DENGAN: [benang putih], DIISI_DENGAN: [bawang putih], name: lekesan, id: lekesan})","[:DIMASUKKAN_KE_DALAM {raw_relation: DIMASUKKAN_KE_DALAM, sentence_id: 3134, confidence: MED}]","(:Node:SARANA_RITUAL {name: lubang satu uang kepeng, id: lubang_satu_uang_kepeng})"
"(:Node:SARANA_RITUAL {BERISI: [tembakau], DIIKAT_DENGAN: [benang putih], DIISI_DENGAN: [bawang putih], name: lekesan, id: lekesan})","[:DITEMPELKAN_DI {raw_relation: DITEMPELKAN_DI, sentence_id: 3496, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {name: gigi jenazah istilah_umum_ritual, id: gigi_jenazah_istilah_umum_ritual})"
"(:Node:SARANA_RITUAL {name: leluwur, id: leluwur})","[:BERUPA {raw_relation: BERUPA, sentence_id: 358, confidence: MED}]","(:Node:SARANA_RITUAL {name: kain putih, id: kain_putih})"
"(:Node:KONSEP_FILOSOFIS {name: lingga sarira pitara, id: lingga_sarira_pitara})","[:BERUNSUR {raw_relation: BERUNSUR, sentence_id: 1588, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: akasa, id: akasa, MELAMBANGKAN: [rongga tubuh]})"
"(:Node:KONSEP_FILOSOFIS {name: lingga sarira pitara, id: lingga_sarira_pitara})","[:BERUNSUR {raw_relation: BERUNSUR, sentence_id: 1588, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: bayu, id: bayu, MELAMBANGKAN: [napas, udara]})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:SARANA_RITUAL {name: lis amuan-amuan, id: lis_amuan_amuan})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: sanggah urip, id: sanggah_urip})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:SARANA_RITUAL {name: sasap, id: sasap})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:SARANA_RITUAL {name: sorohan, id: sorohan})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:SARANA_RITUAL {name: sorohan kecil, id: sorohan_kecil})"
"(:Node:SARANA_RITUAL {TERDIRI_DARI: [benang tatebus, bersihan payasan, coblong, gelar sanga, padma, raka-raka, rangkadan, sampian pusung, tipat], name: lis bale gading, id: lis_bale_gading})","[:TERDIRI_DARI {raw_relation: TERDIRI_DARI, sentence_id: 3196, confidence: MED}]","(:Node:SARANA_RITUAL {name: daksina, definition: penegasan secara formal bahwa yadnya sudah selesai siddhaning yadnya, id: daksina})"
"(:Node:ISTILAH_UMUM_RITUAL {name: logam campuran, id: logam_campuran, BERWARNA: [manca warna]})","[:BERDEWA {raw_relation: BERDEWA, sentence_id: 3758, confidence: LOW}]","(:Node:ENTITAS_KEAGAMAAN {name: dewa siwa, id: dewa_siwa})"
"(:Node:NASKAH_SUCI {name: lontar, id: lontar})","[:MERINCI {raw_relation: MERINCI, sentence_id: 1854, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})"
"(:Node:NASKAH_SUCI {name: lontar putru, id: lontar_putru})",[:TERMASUK_JENIS],"(:Node:NASKAH_SUCI {name: lontar, id: lontar})"
"(:Node:NASKAH_SUCI {name: lontar putru, id: lontar_putru})","[:MEMILIKI_JENIS {raw_relation: MEMILIKI_JENIS, sentence_id: 1853, confidence: MED}]","(:Node:NASKAH_SUCI {name: putru saji, id: putru_saji})"
"(:Node:NASKAH_SUCI {name: lontar putru, id: lontar_putru})","[:MEMILIKI_JENIS {raw_relation: MEMILIKI_JENIS, sentence_id: 1853, confidence: MED}]","(:Node:NASKAH_SUCI {name: putru sangaskara, id: putru_sangaskara})"
"(:Node:KONSEP_FILOSOFIS:Isolated {name: mahabutha, definition: asal materi yang jauh lebih halus dari benda lebih halus dari abu, id: mahabutha})",null,null
"(:Node:KONSEP_HUKUM_ADAT:Isolated {name: malamasa, definition: sasih yang ditampih atau diduakalikan, id: malamasa})",null,null
"(:Node:SARANA_RITUAL:Isolated {DIPULUNG: [kelereng, minimal dua buah], aliases: [malem di atas takir], name: malem, id: malem, DIPAKAI_UNTUK: [ditaruh pada kedua lubang kuping jenazah ketika upacara melelet]})",null,null
"(:Node:RITUAL_KEMATIAN {name: mamukur dan upacara sebangsa, id: mamukur_dan_upacara_sebangsa, DILINDUNGI_DENGAN: [upaya penyucian wilayah yang ketat dengan berbagai pantangannya]})",[:TERMASUK_JENIS],"(:Node:TAHAPAN_UPACARA {aliases: [atma wedana, jenis atma wedana masing-masing, patileman], DITUJUKAN_UNTUK: [mendiang baru dapat diadakan setelah mungkin lima atau sepuluh tahun kemudian], name: ngerorasin, MEMILIKI: [beberapa jenis, nama dan ciri-ciri tersendiri], definition: yadnya yang tidak bersifat sebel, id: ngerorasin})"
"(:Node:TAHAPAN_UPACARA {BERASAL_DARI_KATA: [putru], name: mamutru, id: mamutru})","[:MERUPAKAN_PERUBAHAN_DARI {raw_relation: MERUPAKAN_PERUBAHAN_DARI, sentence_id: 1850, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})"
"(:Node:KONSEP_FILOSOFIS {DICABUT_DENGAN: [puja pendeta], aliases: [manah mendiang], name: manah, id: manah})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 1647, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: angenan, id: angenan, TERBUAT_DARI: [kulit telur ayam berminyak kelapa]})"
"(:Node:KONSEP_FILOSOFIS {name: manah tirtha ening, definition: pawai yang bernilai seni, lebih-lebih yang untuk pamukuran, id: manah_tirtha_ening})",[:TERMASUK_JENIS],"(:Node:KONSEP_FILOSOFIS {DICABUT_DENGAN: [puja pendeta], aliases: [manah mendiang], name: manah, id: manah})"
"(:Node:SARANA_RITUAL {name: mangle, id: mangle})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 2028, confidence: MED}]","(:Node:SARANA_RITUAL {name: sudut atap bade, id: sudut_atap_bade})"
"(:Node:SARANA_RITUAL {name: mangle, id: mangle})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 2028, confidence: MED}]","(:Node:SARANA_RITUAL {name: sudut atap wadah, id: sudut_atap_wadah})"
"(:Node:SARANA_RITUAL {name: mangle, id: mangle})","[:ADALAH {raw_relation: ADALAH, sentence_id: 2034, confidence: MED}]","(:Node:SARANA_RITUAL {name: pengganti tingkat bade atau wadah, id: pengganti_tingkat_bade_atau_wadah})"
"(:Node:SARANA_RITUAL {name: mangle, id: mangle})","[:DIGANTUNGKAN_DI {raw_relation: DIGANTUNGKAN_DI, sentence_id: 2028, confidence: MED}]","(:Node:SARANA_RITUAL {name: masing-masing tingkatan bade atau wadah, id: masing_masing_tingkatan_bade_atau_wadah})"
"(:Node:SARANA_RITUAL {name: mangle, id: mangle})","[:BERGANTUNG_PADA {raw_relation: BERGANTUNG_PADA, sentence_id: 2029, confidence: MED}]","(:Node:SARANA_RITUAL {name: tingkatan bade atau wadah, id: tingkatan_bade_atau_wadah})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: manusia, id: manusia, DINILAI_SEBAGAI: [pihak berhutang]})",null,null
"(:Node:TAHAPAN_UPACARA:Isolated {name: mapegat, MEMILIKI: [makna krusial untuk memutus ikatan emosional dan duniawi antara mendiang niskala dengan keluarga skala], id: mapegat})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {MELAKUKAN: [upacara mesaji (atau memunjung), ketika jenazah masih di atas pepaga/asagan], name: masyarakat setempat, id: masyarakat_setempat})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {AKRAB_DENGAN: [penghadang], MENYERAHKAN: [beban, hak dan berbagai milik yang dulunya ada pada mendiang, tanggung jawab], MENGALAMI: [perubahan wujud], DITERIMA_SEBAGAI: [warga baru dalam pergaulan alam roh], BERUBAH_DARI_SUKSMA_SARIRA_MENJADI: [tanpa berbadan sama sekali atau atma tattwatma], MEMPEROLEH_DARI: [pendeta], DIBERI: [ampun], MEMPEROLEH: [ayaban upakara diuskamaligi yang bermakna penyucian, kemantapan, kesucian, ketenangan, situasi demikian di alam lain], name: mendiang, MEMEGANG: [jabatan], MEMILIKI: [ikatan erat dengan masyarakat, pertalian intim dengan soal duniawi material, cucu-cucu, keponakan], id: mendiang, DIANGGAP_SEBAGAI: [seseorang yang masih hidup]})","[:ADALAH {raw_relation: ADALAH, sentence_id: 1738, confidence: HIGH}]","(:Node:ENTITAS_KEAGAMAAN {name: pemangku, id: pemangku})"
